Export Sales Query System,,,,,,,,,,,,,
,Export Sales Data by Commodity/Date,,,,,,,,,,,,
,From: 01/01/2020 To: 05/21/2020,,,,,,,,,,,,
Source: USDA/FAS/Export Sales Reporting,,,,,,,,,,,,,
05/30/2020,,,,,,,CMY,CMY,CMY,CMY,NMY,NMY,
,,,,,Weekly,Accum.,Outstanding,Gross,Net,Total,Outstanding,Net,
Commodity,,Date,,Country,Exports,Exports,Sales,Sales,Sales,Commitments,Sales,Sales,Unit Desc
,All Rice,01/02/2020,,AMERICAN SAMOA,0.00,375.00,59.00,0.00,0.00,434.00,0,0,Metric Tons
,All Rice,01/02/2020,,ARGENTINA,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,AUSTRALIA,20.00,1265.00,39.00,20.00,20.00,1304.00,0,0,Metric Tons
,All Rice,01/02/2020,,AUSTRIA,0.00,838.00,0.00,0.00,0.00,838.00,0,0,Metric Tons
,All Rice,01/02/2020,,"BAHAMAS, THE",196.00,2346.00,36.00,215.00,215.00,2382.00,0,0,Metric Tons
,All Rice,01/02/2020,,BAHRAIN,60.00,60.00,0.00,60.00,60.00,60.00,0,0,Metric Tons
,All Rice,01/02/2020,,BARBADOS,0.00,15.00,0.00,0.00,0.00,15.00,0,0,Metric Tons
,All Rice,01/02/2020,,BELGIUM-LUXEMBOURG,0.00,39.00,0.00,0.00,0.00,39.00,0,0,Metric Tons
,All Rice,01/02/2020,,BELIZE,0.00,0.00,220.00,0.00,0.00,220.00,0,0,Metric Tons
,All Rice,01/02/2020,,BERMUDA,0.00,40.00,0.00,0.00,0.00,40.00,0,0,Metric Tons
,All Rice,01/02/2020,,BOTSWANA,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,"BYELARUS, REPUBLIC OF",0.00,40.00,0.00,0.00,0.00,40.00,0,0,Metric Tons
,All Rice,01/02/2020,,CANADA,2357.00,60303.00,11749.00,1732.00,1732.00,72052.00,0,0,Metric Tons
,All Rice,01/02/2020,,CAYMAN ISLANDS,0.00,6.00,0.00,0.00,0.00,6.00,0,0,Metric Tons
,All Rice,01/02/2020,,CHILE,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,"CHINA, PEOPLES REPUBLIC OF",0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,COLOMBIA,0.00,25847.00,256.00,0.00,0.00,26103.00,0,0,Metric Tons
,All Rice,01/02/2020,,COSTA RICA,0.00,37269.00,75.00,0.00,0.00,37344.00,0,0,Metric Tons
,All Rice,01/02/2020,,CZECH REPUBLIC,0.00,0.00,80.00,0.00,0.00,80.00,0,0,Metric Tons
,All Rice,01/02/2020,,DENMARK,0.00,39.00,0.00,0.00,0.00,39.00,0,0,Metric Tons
,All Rice,01/02/2020,,DJIBOUTI AFARS-ISSAS,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,DOMINICAN REPUBLIC,0.00,2006.00,30129.00,0.00,0.00,32135.00,0,0,Metric Tons
,All Rice,01/02/2020,,EL SALVADOR,0.00,35290.00,22149.00,0.00,0.00,57439.00,0,0,Metric Tons
,All Rice,01/02/2020,,FEDERATED STATES OF MICRONESIA,13.00,173.00,0.00,0.00,0.00,173.00,0,0,Metric Tons
,All Rice,01/02/2020,,FRANCE,0.00,515.00,0.00,0.00,0.00,515.00,0,0,Metric Tons
,All Rice,01/02/2020,,GERMANY,0.00,1017.00,20.00,0.00,0.00,1037.00,0,0,Metric Tons
,All Rice,01/02/2020,,GHANA,0.00,2310.00,0.00,0.00,0.00,2310.00,0,0,Metric Tons
,All Rice,01/02/2020,,GUAM,137.00,1860.00,99.00,116.00,116.00,1959.00,0,0,Metric Tons
,All Rice,01/02/2020,,GUATEMALA,9504.00,54915.00,9350.00,254.00,254.00,64265.00,0,0,Metric Tons
,All Rice,01/02/2020,,GUINEA,0.00,612.00,0.00,0.00,0.00,612.00,0,0,Metric Tons
,All Rice,01/02/2020,,HAITI,30476.00,223377.00,91051.00,80.00,-24.00,314428.00,0,0,Metric Tons
,All Rice,01/02/2020,,HONDURAS,0.00,117971.00,0.00,0.00,0.00,117971.00,0,0,Metric Tons
,All Rice,01/02/2020,,HONG KONG,160.00,3178.00,980.00,0.00,0.00,4158.00,0,0,Metric Tons
,All Rice,01/02/2020,,INDIA,0.00,39.00,0.00,0.00,0.00,39.00,0,0,Metric Tons
,All Rice,01/02/2020,,IRAQ,0.00,154491.00,0.00,0.00,0.00,154491.00,0,0,Metric Tons
,All Rice,01/02/2020,,IRELAND,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,ISRAEL,459.00,5410.00,758.00,259.00,259.00,6168.00,0,0,Metric Tons
,All Rice,01/02/2020,,ITALY,0.00,0.00,0.00,0.00,0.00,0.00,0,0,Metric Tons
,All Rice,01/02/2020,,JAMAICA,0.00,185.00,0.00,0.00,0.00,185.00,0,0,Metric Tons
